name,unique_cycle_sum,unique_energy_sum,arith_meshX,arith_ins,mem0_ins,mem0_ent,mem1_ins,mem1_ent,mem2_ins,mem2_ent,mem3_ins,mem3_ent,mem4_ins,mem4_ent
arch_16_10_174_12544_1030_142336,20736,39237969.45,16,1280,1280,1,128,174,128,12544,64,1030,1,142336
arch_16_10_174_34304_3508_72704,20736,43194099.38,16,1280,1280,1,128,174,128,34304,64,3508,1,72704
arch_16_10_178_46336_410_53248,20736,37570453.31,16,1280,1280,1,128,178,128,46336,64,410,1,53248
arch_16_10_186_27648_742_182272,20736,39727677.71,16,1280,1280,1,128,186,128,27648,64,742,1,182272
arch_16_10_18_768_3090_112640,20736,41327865.25,16,1280,1280,1,128,18,128,768,64,3090,1,112640
arch_16_10_190_51968_986_239616,20736,42607306.45,16,1280,1280,1,128,190,128,51968,64,986,1,239616
arch_16_10_20_51712_1842_74752,20736,40615704.88,16,1280,1280,1,128,20,128,51712,64,1842,1,74752
arch_16_10_226_38400_3180_150528,20736,39793863.24,16,1280,1280,1,128,226,128,38400,64,3180,1,150528
arch_16_10_226_64512_2562_190464,20736,40429050.57,16,1280,1280,1,128,226,128,64512,64,2562,1,190464
arch_16_10_238_38912_3884_224256,20736,43451105.37,16,1280,1280,1,128,238,128,38912,64,3884,1,224256
arch_16_10_238_48640_3212_89088,20736,44882835.46,16,1280,1280,1,128,238,128,48640,64,3212,1,89088
arch_16_10_24_47872_2766_38912,20736,39962826.93,16,1280,1280,1,128,24,128,47872,64,2766,1,38912
arch_16_10_252_50688_1748_11264,20736,47845296.0,16,1280,1280,1,128,252,128,50688,64,1748,1,11264
arch_16_10_2_43264_2354_80896,23040,74930125.43,16,1280,1280,1,128,2,128,43264,64,2354,1,80896
arch_16_10_2_65280_1800_202752,23040,90674961.25,16,1280,1280,1,128,2,128,65280,64,1800,1,202752
arch_16_10_42_49664_1724_66560,20736,42089063.88,16,1280,1280,1,128,42,128,49664,64,1724,1,66560
arch_16_10_54_13312_728_261120,20736,38151507.1,16,1280,1280,1,128,54,128,13312,64,728,1,261120
arch_16_10_82_30976_12_186368,23040,72936003.5,16,1280,1280,1,128,82,128,30976,64,12,1,186368
arch_16_10_92_33792_2490_60416,20736,38562647.48,16,1280,1280,1,128,92,128,33792,64,2490,1,60416
arch_16_12_10_37376_1184_200704,17280,41291393.77,16,1536,1536,1,128,10,128,37376,64,1184,1,200704
arch_16_12_128_7680_468_72704,17280,36780201.89,16,1536,1536,1,128,128,128,7680,64,468,1,72704
arch_16_12_12_57088_754_90112,17280,44021244.94,16,1536,1536,1,128,12,128,57088,64,754,1,90112
arch_16_12_140_35584_3518_70656,17280,36205535.84,16,1536,1536,1,128,140,128,35584,64,3518,1,70656
arch_16_12_150_13568_424_30720,18087,45516251.94,16,1536,1536,1,128,150,128,13568,64,424,1,30720
arch_16_12_184_52480_1782_129024,17280,34213470.83,16,1536,1536,1,128,184,128,52480,64,1782,1,129024
